institucion_principal,region_ejecucion,cambio
UNIVERSIDAD DE MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
CENTRO DE ESTUDIOS DEL CUATERNARIO DE FUEGO-PATAGONIA Y ANTARTICA,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
FUNDACION OMORA ONG,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
ESCUELA LIBERTADOR CAPITAN GENERAL BERNARDO O'HIGGINS PUNTA ARENAS,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
ESCUELA RURAL DE CONCENTRACION FRONTERIZA G-7 DOROTEA,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
UNIVERSIDAD AUSTRAL DE CHILE,11. AYSEN,11. AYSEN
UNIVERSIDAD AUSTRAL DE CHILE,12. MAGALLANES Y ANTARTICA CHILENA,14. LOS RIOS
COMISION NACIONAL DEL MEDIO AMBIENTE,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
COLEGIO ADAN DARIO BECERRA,11. AYSEN,11. AYSEN
COLEGIO DIEGO PORTALES,11. AYSEN,11. AYSEN
ESCUELA MUNICIPAL AONIKENK,11. AYSEN,11. AYSEN
LICEO SAN JOSE U.R.,11. AYSEN,11. AYSEN
COLEGIO SANTA TERESA DE LOS ANDES,11. AYSEN,11. AYSEN
HEIDELBERG UNIVERSITY,12. MAGALLANES Y ANTARTICA CHILENA,INTERNACIONAL
FUNDACION PARA EL DESARROLLO DE LA XII REGION MAGALLANES,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
LICEO LUIS ALBERTO BARRERA,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
SOCIEDAD EDUCACIONAL LICEO SAN JOSE U.R.,11. AYSEN,11. AYSEN
JARDIN INFANTIL Y SALA CUNA ETNICO FAMILIAR UKIKA,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
JARDIN INFANTIL Y SALA CUNA TURRON,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
UNIVERSITE MONTPELLIER 2,12. MAGALLANES Y ANTARTICA CHILENA,INTERNACIONAL
ESCUELA AGRICOLA DE LA PATAGONIA,11. AYSEN,11. AYSEN
ESCUELA ARTURO PRAT,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
LICEO MARIA AUXILIADORA,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
ESCUELA BERNARDO O'HIGGINS RIQUELME,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
COLEGIO LUTERANO,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
JARDIN INFANTIL MARROS,12. MAGALLANES Y ANTARTICA CHILENA,12. MAGALLANES Y ANTARTICA CHILENA
ESCUELA ELUHUEN,11. AYSEN,11. AYSEN
UNIVERSIDAD CATOLICA DE TEMUCO,11. AYSEN,09. LA ARAUCANIA
